iter	MultiClass
0	1.05304301
1	1.018680966
2	0.9879920593
3	0.9597381479
4	0.9377740271
5	0.9178976994
6	0.9020457625
7	0.8881409133
8	0.8769999232
9	0.8666795628
10	0.8571404354
11	0.84913577
12	0.8413586893
13	0.834234659
14	0.8301279393
15	0.8245203232
16	0.819408406
17	0.8145250034
18	0.8103515163
19	0.8068447618
20	0.8042143246
21	0.8015145217
22	0.7987393835
23	0.7966972876
24	0.7944477381
25	0.793194543
26	0.7913341828
27	0.789486316
28	0.7879790842
29	0.7861886298
30	0.785533075
31	0.7843675042
32	0.7830797971
33	0.7819261067
34	0.7808461045
35	0.7797376256
36	0.7784966646
37	0.7769448612
38	0.7757431907
39	0.7750907019
40	0.7743534494
41	0.7736141217
42	0.7726503335
43	0.7719006406
44	0.7709234778
45	0.7702132119
46	0.7697811461
47	0.7689400081
48	0.7683901305
49	0.7673859772
50	0.7667204161
51	0.7663415317
52	0.7655781635
53	0.7649234785
54	0.764342001
55	0.76407592
56	0.763622235
57	0.7629447485
58	0.7624873633
59	0.7621932919
60	0.7618358831
61	0.7612536556
62	0.7607135827
63	0.7602393534
64	0.7596827586
65	0.7592814072
66	0.7590693608
67	0.7585727465
68	0.7580961849
69	0.7575303484
70	0.7571246884
71	0.7567468886
72	0.7561176697
73	0.7557657842
74	0.755425227
75	0.7552244635
76	0.7548857171
77	0.7547175669
78	0.7543954089
79	0.7540163692
80	0.7536577444
81	0.7532390179
82	0.7528552175
83	0.7524458809
84	0.7519073168
85	0.7513309908
86	0.7508682887
87	0.7504578828
88	0.7501219185
89	0.749647992
90	0.7493697233
91	0.7491122206
92	0.7487342136
93	0.7482526787
94	0.7479314425
95	0.7474163861
96	0.7469637829
97	0.7467660975
98	0.7464816324
99	0.7457881344
100	0.7454642012
101	0.7447228673
102	0.7442868185
103	0.7440792946
104	0.7437216149
105	0.7434619058
106	0.7430551076
107	0.7427320717
108	0.7423007237
109	0.7419891924
110	0.7416628055
111	0.7414082248
112	0.7410655485
113	0.7406642284
114	0.7400606328
115	0.7398094226
116	0.7393820447
117	0.7389792238
118	0.7385442827
119	0.7381850623
120	0.7380182904
121	0.7374614083
122	0.7368399248
123	0.7363409503
124	0.7360160384
125	0.7356701896
126	0.7353408656
127	0.7350080935
128	0.7345486018
129	0.7344100051
130	0.7340535132
131	0.7336091929
132	0.7331593714
133	0.7329364419
134	0.7325608362
135	0.732109711
136	0.7318646162
137	0.7315649301
138	0.7311601518
139	0.7309113264
140	0.7304976446
141	0.7301717365
142	0.7299039154
143	0.7295740375
144	0.7294304005
145	0.7291207631
146	0.7288891333
147	0.7284373313
148	0.727828625
149	0.7275417175
150	0.7273347727
151	0.7270882225
152	0.7269116601
153	0.7263634709
154	0.7261428444
155	0.7256491508
156	0.7254094347
157	0.7250837742
158	0.724688391
159	0.7243918645
160	0.724150399
161	0.7239614908
162	0.7237041401
163	0.7231462932
164	0.7227357277
165	0.7226542289
166	0.7221564341
167	0.7217947032
168	0.7214153303
169	0.7211925762
170	0.7208535221
171	0.7206540665
172	0.7204167207
173	0.7202577505
174	0.719951617
175	0.719690084
176	0.719436639
177	0.719192541
178	0.7189812401
179	0.7187402929
180	0.7185837684
181	0.7183752357
182	0.7182746734
183	0.7178498654
184	0.7176745794
185	0.7175383375
186	0.7170123385
187	0.7167463083
188	0.7165836949
189	0.716290944
190	0.7160747576
191	0.7156745206
192	0.7155377712
193	0.7153260341
194	0.7150998174
195	0.7148573035
196	0.7146924693
197	0.7143261026
198	0.7136540077
199	0.7130802274
200	0.712735283
201	0.7124631206
202	0.7122822263
203	0.711936635
204	0.7117357211
205	0.7113685164
206	0.7107632616
207	0.7102046137
208	0.7097212833
209	0.7095415958
210	0.7091843369
211	0.7089610732
212	0.7087910876
213	0.7086464242
214	0.7083477262
215	0.7078462115
216	0.7076935775
217	0.707213004
218	0.7068080836
219	0.7064750571
220	0.7062736973
221	0.7058573701
222	0.7056334143
223	0.705184549
224	0.7048919144
225	0.7046489538
226	0.7043029796
227	0.7039418322
228	0.7035845488
229	0.703248902
230	0.7029924716
231	0.7028135412
232	0.7024430998
233	0.7021669133
234	0.7016338974
235	0.7013980318
236	0.7012754108
237	0.7009444016
238	0.7005273563
239	0.7004034184
240	0.7001646197
241	0.6999538495
242	0.6997555095
243	0.6994796626
244	0.698971688
245	0.6986860997
246	0.6984487762
247	0.698270944
248	0.6979965859
249	0.6978091125
250	0.6975714501
251	0.6974070296
252	0.6970110036
253	0.6967002342
254	0.6964634307
255	0.6959930071
256	0.6957622255
257	0.6953284627
258	0.6950479035
259	0.6947740484
260	0.6946566376
261	0.6942908814
262	0.6939003829
263	0.6937646876
264	0.6934106194
265	0.6932476318
266	0.6929220052
267	0.6927906838
268	0.6924791362
269	0.6920883974
270	0.6916927722
271	0.6915134596
272	0.6912473939
273	0.6909832472
274	0.6904943578
275	0.6903144677
276	0.690077716
277	0.6897608351
278	0.6895097898
279	0.6891466933
280	0.6888725646
281	0.6885410363
282	0.6882663179
283	0.6880030361
284	0.6876962101
285	0.6873196428
286	0.6870306408
287	0.6867464426
288	0.6864823025
289	0.6861299537
290	0.6857733617
291	0.6855682609
292	0.6851664699
293	0.684910173
294	0.6844984319
295	0.6842094326
296	0.6839838178
297	0.6836868265
298	0.6833244343
299	0.6829297335
300	0.6827242956
301	0.6825341014
302	0.6822481999
303	0.6819211855
304	0.6817677676
305	0.6815225824
306	0.6813205928
307	0.6809899343
308	0.6806428287
309	0.6804920094
310	0.6802431655
311	0.6801275897
312	0.6799179322
313	0.6798029596
314	0.6795153239
315	0.679097644
316	0.678890855
317	0.6787550566
318	0.678249728
319	0.677885709
320	0.6775821571
321	0.677335358
322	0.6771548888
323	0.6769342665
324	0.6767691441
325	0.6766374131
326	0.6763420173
327	0.6761032907
328	0.6759699145
329	0.6756775775
330	0.6753295579
331	0.6749071372
332	0.6745695184
333	0.6742976291
334	0.6739251049
335	0.6735215085
336	0.6733192776
337	0.6730989483
338	0.6729306894
339	0.6726120418
340	0.6723484861
341	0.6721410222
342	0.6719128536
343	0.6717495182
344	0.6714925006
345	0.6711098786
346	0.670897308
347	0.6706938394
348	0.670367909
349	0.6699710765
350	0.6696869504
351	0.6693942294
352	0.6690506047
353	0.6688717052
354	0.6685431376
355	0.6684521966
356	0.6682762805
357	0.6681254506
358	0.6680530124
359	0.6677959741
360	0.6675701092
361	0.6672035582
362	0.6669464638
363	0.6667968639
364	0.6666079626
365	0.6663417597
366	0.6661752328
367	0.6658578367
368	0.6656845495
369	0.665393699
370	0.6651228958
371	0.6648866716
372	0.664633499
373	0.6642288631
374	0.6640228175
375	0.6638716399
376	0.6636083986
377	0.6632578767
378	0.6629238692
379	0.6626443558
380	0.6623805541
381	0.6618727987
382	0.6615482235
383	0.6613171735
384	0.6610324721
385	0.6608058836
386	0.6606866951
387	0.660486914
388	0.6601603027
389	0.6599831799
390	0.6598286119
391	0.659701405
392	0.6593173407
393	0.6592094245
394	0.6588024929
395	0.6586332018
396	0.6584163833
397	0.6581235708
398	0.6580110659
399	0.6578648042
400	0.6577322017
401	0.6574059866
402	0.6570997418
403	0.6569312189
404	0.6567264293
405	0.6564808568
406	0.6562336695
407	0.6558369739
408	0.655702063
409	0.6554256679
410	0.6552309
411	0.6549099317
412	0.6547324865
413	0.6545875545
414	0.6543126021
415	0.653967456
416	0.6536757086
417	0.6533198382
418	0.6530064426
419	0.6527501277
420	0.6525210521
421	0.6521689435
422	0.6516964866
423	0.6514932462
424	0.6511397931
425	0.6509169181
426	0.6505057314
427	0.6501765238
428	0.6499804153
429	0.6497021416
430	0.6495158642
431	0.6493198252
432	0.6491683724
