iter	Passed	Remaining
0	2	2247
1	4	2241
2	14	4879
3	21	5337
4	33	6620
5	38	6309
6	64	9140
7	80	10029
8	84	9355
9	106	10494
10	116	10472
11	120	9961
12	133	10098
13	151	10674
14	155	10230
15	162	9963
16	164	9489
17	165	9052
18	167	8667
19	169	8312
20	171	7987
21	172	7690
22	174	7419
23	176	7169
24	177	6941
25	179	6716
26	181	6527
27	182	6345
28	184	6171
29	185	6013
30	187	5864
31	189	5726
32	191	5598
33	192	5482
34	194	5372
35	196	5265
36	198	5167
37	200	5074
38	202	4985
39	203	4893
40	205	4811
41	207	4733
42	209	4661
43	211	4591
44	213	4523
45	215	4459
46	216	4397
47	218	4336
48	220	4278
49	222	4225
50	224	4172
51	226	4120
52	227	4073
53	229	4027
54	231	3980
55	233	3931
56	235	3888
57	237	3849
58	238	3808
59	240	3770
60	242	3731
61	244	3696
62	246	3661
63	248	3627
64	249	3595
65	251	3565
66	253	3533
67	255	3503
68	257	3474
69	259	3446
70	261	3417
71	263	3389
72	264	3364
73	266	3339
74	268	3313
75	270	3287
76	272	3263
77	274	3238
78	275	3217
79	277	3194
80	279	3171
81	281	3149
82	283	3128
83	285	3108
84	286	3088
85	288	3069
86	290	3050
87	292	3031
88	294	3014
89	296	2996
90	298	2979
91	300	2961
92	301	2944
93	303	2928
94	305	2912
95	307	2899
96	309	2883
97	311	2867
98	313	2851
99	315	2837
100	317	2823
101	319	2808
102	321	2795
103	322	2781
104	324	2768
105	326	2754
106	328	2740
107	330	2728
108	332	2715
109	334	2702
110	335	2690
111	337	2677
112	339	2666
113	341	2654
114	343	2642
115	345	2630
116	347	2619
117	348	2608
118	350	2597
119	352	2586
120	354	2574
121	356	2564
122	358	2554
123	360	2545
124	362	2535
125	364	2526
126	365	2515
127	367	2506
128	369	2496
129	371	2486
130	373	2476
131	375	2468
132	377	2459
133	379	2449
134	380	2440
135	382	2431
136	384	2422
137	386	2413
138	388	2404
139	390	2399
140	392	2391
141	394	2383
142	396	2374
143	398	2366
144	399	2358
145	402	2351
146	403	2342
147	405	2335
148	407	2328
149	409	2320
150	411	2312
151	413	2305
152	415	2297
153	418	2300
154	420	2292
155	422	2285
156	424	2277
157	426	2270
158	427	2263
159	429	2256
160	431	2249
161	433	2242
162	435	2235
163	437	2228
164	439	2222
165	440	2215
166	442	2209
167	444	2202
168	446	2196
169	448	2189
170	450	2183
171	452	2177
172	454	2171
173	455	2164
174	457	2158
175	459	2152
176	461	2146
177	463	2140
178	465	2133
179	467	2127
180	468	2122
181	470	2116
182	472	2110
183	474	2104
184	476	2097
185	478	2092
186	479	2086
187	481	2080
188	483	2075
189	485	2070
190	487	2064
191	489	2059
192	490	2052
193	492	2047
194	494	2041
195	496	2035
196	498	2030
197	500	2025
198	501	2020
199	503	2015
200	505	2011
201	507	2005
202	509	2000
203	511	1995
204	513	1990
205	515	1985
206	517	1981
207	519	1976
208	520	1971
209	522	1966
210	524	1961
211	526	1956
212	527	1950
213	529	1945
214	531	1940
215	533	1935
216	534	1930
217	536	1926
218	538	1921
219	540	1917
220	542	1912
221	544	1907
222	546	1903
223	548	1899
224	550	1895
225	552	1890
226	554	1886
227	555	1882
228	557	1878
229	559	1873
230	561	1869
231	563	1864
232	565	1860
233	567	1856
234	569	1852
235	570	1848
236	572	1843
237	574	1839
238	576	1835
239	578	1831
240	580	1826
241	581	1822
242	583	1818
243	585	1814
244	587	1811
245	589	1807
246	591	1802
247	593	1799
248	595	1795
249	597	1791
250	598	1787
251	600	1782
252	602	1779
253	604	1775
254	606	1771
255	608	1767
256	610	1764
257	612	1760
258	614	1756
259	615	1753
260	617	1749
261	619	1745
262	621	1741
263	623	1737
264	625	1734
265	627	1730
266	628	1726
267	630	1722
268	632	1719
269	634	1715
270	636	1711
271	638	1708
272	640	1704
273	642	1701
274	643	1697
275	645	1694
276	647	1690
277	649	1687
278	651	1683
279	653	1679
280	655	1676
281	656	1672
282	658	1669
283	660	1665
284	662	1662
